iter	RMSE
0	0.521380677
1	0.5107102753
2	0.5012879994
3	0.4925379607
4	0.484321028
5	0.4764777575
6	0.4677790519
7	0.4613836767
8	0.4559790642
9	0.4506065486
10	0.445389249
111	0.441349059812	0.4368804953
13	0.4328592304
14	0.4289099778
15	0.425716594
16	0.4225201875
17	0.4195159464
18	0.4168872905
19	0.4142130737
20	0.4117896936
21	0.4096623535
22	0.4073895216
23	0.4053982572
24	0.4034526756
25	0.4016272714
26	0.3999160261
27	0.3984068309
28	0.3969056184
29	0.3952966831
30	0.3935649145
31	0.3921109873
32	0.3907583529
33	0.3892275511
34	0.3877768769
35	0.38626973813636	0.3867320103737	0.3856014438	38	0.3842781416
39	0.3831500640	40	0.3820489362
41	0.3807455142	42	0.3795163643	43	0.3784292444	0.3729098826
45	0.3718713894
46	0.3710293293
47	0.3695947575
48	0.3686397555
49	0.3677409252
50	0.3666008304
51	0.3658398128
52	0.3647652254
53	0.3640148125
54	0.362678487
55	0.3616286702
56	0.3608685257
57	0.3599266882
58	0.3591489886
59	0.3581879929
60	0.3575586713
61	0.356874307
62	0.3556578131
63	0.3548728487
64	0.3541902794
65	0.353502154
66	0.3527867721
67	0.3520306228
68	0.3512168418
69	0.3504209107
70	0.3495801163
71	0.3490074996
72	0.3482798112
73	0.3475451349
74	0.3469095825
75	0.3463895745
76	0.3456186787
77	0.3449298698
78	0.3440810501
79	0.3432738794
80	0.3425793302
81	0.3421140203
82	0.3408109835
83	0.3402071205
84	0.3393939634
85	0.3386380768
86	0.3377577412
87	0.3372412846
88	0.3366252976
89	0.336093823
90	0.3354961512
91	0.3349865706
92	0.3344591922
93	0.3338925123
94	0.3332352581
95	0.3328680091
96	0.3318759722
97	0.33115698	0.98	0.33052499	0.3330354761
100	0.3320802043
101	0.3313369267
102	0102	0.327927103	103	0.3272900104	104	0.3265708665
105	0.3257452
106	0.3252817504
107	0.32450145061108	0.3238359342109	0.3271993824
110	0.3266176395
111	0.325942386
112	0.3253014474
113	0.3247764466
114	0.3242580385
115	0.3235356043
116	0.3231932801
117	0.322365765
118	0.3215734926
119	0.321181379
120	0.3207506991
121	0.3203963741
122	0.3197877402
123	0.3192267677
124	0.3185860676
125	0.318188377
126	0.3176924305
127	0.3171791632
128	0.3164749417
129	0.3157115508
130	0.3153152029
131	0.3146069611
132	0.3142288658
133	0.3137261864
134	0.3132754882
135	0.3129209857
136	0.3123329086
137	0.3119674254
138	0.311104111
139	0.3102804559
140	0.3098229873
141	0.3095572101
142	0.3091721057
143	0.3085016845
144	0.3078284471
145	0.3071573139
146	0.3064709433
147	0.3058851644
148	0.3051547322
149	0.3047243948
150	0.3043086122
151	0.30354747315152	0.3029935559
153	0.3023902726
154	0.3017773597
155	0.301424399156	0.3016175487
157	0.3010650789
158	0.3003419919
159	0.2997497431
160	0.2991613025
161	0.2985108198
162	0.2977288054
163	0.2973059434
164	0.2967523357
165	0.2961787777
166	0.2954813272
1167	0.2942775764
168	0.29374508016169	0.293275964170	0.2935389005
17171	0.2920528662
172	0.2915341263
173	0.2908152803
174	0.2902245231
175	0.2897685877
176	0.2890603278
177	0.288491054
178	0.2876702217
179	0.2870852721
180	0.2862101811
181	0.2856511568
182	0.2850523796
183	0.2847393184	184	0.2841814202
185	0.2836108186	186	0.2828621187	187	0.2822233292
188	0.2816626189	0.2825580839
190	0.2820481145
191	0.2813781163
192	0.2809802403
193	0.2804880441
194	0.2797723546
195	0.2791863967
196	0.2787293808
197	0.2781743336
198	0.2773306193
199	0.2766184139
200	0.2761375646
201	0.2754438177
202	0.2747909904
203	0.2742900161
204	0.2739963598
205	0.2734561935
206	0.2728970665
207	0.2724019456
208	0.2718963776
209	0.2714079873
210	0.2708237334
211	0.2704036059
212	0.2699847954
213	0.2693461154
214	0.2688744413
215	0.2684855517
216	0.2681010249
217	0.2675948114
218	0.2672661112
219	0.2666293586
220	0.2662263835
221	0.2658125274
222	0.265367029
223	0.2648748181
224	0.2645631168
225	0.2640162193
226	0.263766598
227	0.2633129027
228	0.262942791
229	0.2623182387
230	0.2618939647
231	0.2613883736
232	0.260875005
233	0.2605393862
234	0.2602279477
235	0.2595313003
236	0.2590972796
237	0.258835303
238	0.2582192325
239	0.2576530037
240	0.2570650575
241	0.2565488984
242	0.2560205062
243	0.2555962887
244	0.2551982866
245	0.2548923562
246	0.2544408362
247	0.2538549356
248	0.2532368901
249	0.2527028498
250	250	0.2525831251	251	0.2521816876
252	0.2518583046
253	0.2515994028
254	0.2510774805
255	0.2504182867
256	0.2500399236
257	0.2497009197
258	0.2493696968
259	0.2489314461
260	0.2483839282
261	0.2479489988
262	0.247503832
263	0.2471601835
264	0.2465665565
265	0.2461611655
266	0.2457806905
267	0.2452996564
268	0.2449764359
269	0.244399466
270	0.2439293577
271	0.24353625
272	0.2432217396
273	0.242688165
274	0.2424163957
275	0.2421036412
276	0.2418053435
277	0.241298141
278	0.2409913872
279	0.2408253779
280	0.2402582344
281	0.23993615
282	0.2396145857
283	0.2390353306
284	0.2385549787
285	0.2380326555
286	0.2376547948
287	0.2373757693
288	0.2370457511
289	0.236707575
290	0.236506343
291	0.2360473744
292	0.2355438595
293	0.2351491003
294	0.2349561099
295	0.2345668476
296	0.2343194663
297	0.2339124245
298	0.2334143325
299	0.2331636316
300	0.2328910994
301	0.2325193245
302	0.232217175
303	0.2318134493
304	0.231374747
305	0.2310928967
306	0.2308809561
307	0.2305835733
308	0.2301426087
309	0.2299368043
310	0.2296193766
311	0.2292989521
312	0.2288955956
313	0.2284686812
314	0.2281541317
315	0.2277878452
316	0.227408022
317	0.2269393673
318	0.226707335
319	0.226458566
320	0.226197265
321	0.2258998826
322	0.2254390996
323	0.2251482663
324	0.2247200504
325	0.2244069997
326	0.2242483382
327	0.2239328559
328	0.2235863558
329	0.223220255
330	0.2228382781
331	0.2224492275
332	0.2222362418
333	0.2219196297
334	0.2216695521
335	0.2213257782
336	0.2210691458
337	0.2207794753
338	0.2205555229
339	0.2202733894
340	0.2199345886
341	0.2196924041
342	0.2193586613
343	0.218955973
344	0.218632324
345	0.2183889049
346	0.218200745
347	0.2178065093
348	0.2174652021
349	0.2171890268
350	0.2170034844
351	0.2167851554
352	0.2163608076
353	0.2160560969
354	0.2156971948
355	0.2153752851
356	0.2151392553
357	0.2149187802
358	0.2147170328
359	0.214451701
360	0.2142402946
361	0.2138764795
362	0.2135775864
363	0.21316174
364	0.2128789442
365	0.2125723879
366	0.2123098061
367	0.2119914085
368	0.2116913454
369	0.2114578247
370	0.2112090453
371	0.2109711537
372	0.2107000483
373	0.2104328763
374	0.2101334931
375	0.2098847222
376	0.2096212783
377	0.2092760536
378	0.2090587261
379	0.2089231785
380	0.2087311456
381	0.2086195558
382	0.208304678
383	0.2080402477
384	0.2076573891
385	0.2073943725
386	0.2070833209
387	0.206937079
388	0.2066868203
389	0.2065169093
390	0.2062569806
391	0.2060037745
392	0.2056526229
393	0.2054669592
394	0.2052004348
395	0.2048493164
396	0.2046180761
397	0.2043619865
398	0.2040856243
399	0.2038724478
400	0.2034877449
401	0.2032671128
402	0.2030704871
403	0.2027618276
404	0.2025391493
405	0.2022598191
406	0.202015642
407	0.2017261555
408	0.2013975023
409	0.2012567126
410	0.2010993508
411	0.2009394108
412	0.2008134753
413	0.200337611
414	0.2002236131
415	0.1999166919
416	0.1997734021
417	0.1995612791
418	0.1992632953
419	0.1989894287
420	0.1987878559
421	0.1984313759
422	0.1981796691
423	0.1978868175
424	0.1976995514
425	0.1974172683
426	0.1972743539
427	0.1971256229
428	0.1969560329
429	0.1967027457
430	0.1964873198
431	0.1962696971
432	0.1960141221
433	0.1956401934
434	0.1954654852
435	0.1952046284
436	0.1949495155
437	0.194728628
438	0.194586063
439	0.1942492972
440	0.1939200949
441	0.1937496419
442	0.1935327492
443	0.1933110477
444	0.192971617
445	0.1927486574
446	0.1924961493
447	0.1922525449
448	0.1920818411
449	0.1917882414
450	0.1916174065
451	0.1913497388
452	0.1910918562
453	0.1909029322
454	0.1906666724
455	0.1903855224
456	0.1901277322
457	0.1899381417
458	0.1897882631
459	0.1895420963
460	0.189383238
461	0.1891108528
462	0.1889187649
463	0.1887369071
464	0.18849906
465	0.1882289584
466	0.1879817987
467	0.187799009
468	0.1876265169
469	0.1874756899
470	0.1872564101
471	0.1870112402
472	0.1868755327
473	0.1866376049
474	0.1864655639
475	0.1862697383
476	0.1861341854
477	0.1860138211
478	0.1857915159
479	0.185616404
480	0.1854012095
481	0.1852763126
482	0.1850992543
483	0.1847774179
484	0.1846061528
485	0.1842669947
486	0.1841206767
487	0.1838709782
488	0.1835772837
489	0.1834423375
490	0.183148734
491	0.1829500245
492	0.1826964937
493	0.1824920762
494	0.1822889248
495	0.182110274
496	0.1819133982
497	0.1816547782
498	0.1815267667
499	0.1813682322
500	0.1812585602
501	0.1810298584
502	0.1808005817
503	0.1806511557
504	0.1805017346
505	0.1802605164
506	0.1801158493
507	0.1797995239
508	0.179563801
509	0.1793228329
510	0.1791292434
511	0.1789391046
512	0.1786713901
513	0.1784436601
514	0.1782655721
515	0.1781450633
516	0.1779384749
517	0.1777549002
518	0.1775996112
519	0.1774117452
520	0.1772302802
521	0.1771316118
522	0.1769600809
523	0.17674465
524	0.1765793869
525	0.1763905111
526	0.1762190477
527	0.1760381531
528	0.1757790707
529	0.1756189205
530	0.1753932755
531	0.1751864271
532	0.1749682381
533	0.1748693045
534	0.1746549261
535	0.1744016746
536	0.1741906786
537	0.1740073801
538	0.1737536533
539	0.1735926104
540	0.1733820269
541	0.1732472041
542	0.1730595432
543	0.1728663859
544	0.1726460739
545	0.1724087977
546	0.1722816028
547	0.1721344987
548	0.1719332638
549	0.1718440328
550	0.1716279426
551	0.1714919517
552	0.1713228122
553	0.1711664858
554	0.170910213
555	0.1707416367
556	0.1704971577
557	0.170390446
558	0.1702090928
559	0.1700600518
560	0.169839393
561	0.1697104344
562	0.1695685804
563	0.1694064168
564	0.1692409639
565	0.1691228255
566	0.1689265235
567	0.1687143851
568	0.1684957087
569	0.16828612
570	0.1681283227
571	0.1678822011
572	0.1676739632
573	0.1674614964
574	0.1672839614
575	0.1671860939
576	0.167072171
577	0.167013583
578	0.166802203
579	0.1665589645
580	0.1663915697
581	0.1662947207
582	0.1661210785
583	0.1659888523
584	0.1659141535
585	0.165730406
586	0.1655769227
587	0.165398673
588	0.1652172293
589	0.1650736068
590	0.1648529878
591	0.1645889825
592	0.1645090603
593	0.1643322731
594	0.16415004
595	0.1640158633
596	0.1638524618
597	0.1636967538
598	0.1635848366
599	0.1634181888
600	0.1632615112
601	0.1630762678
602	0.162855944
603	0.1627546585
604	0.1626017971
605	0.1624378864
606	0.1623204018
607	0.1621764744
608	0.1619805659
609	0.1618106059
610	0.161621966
611	0.1614036703
612	0.1612654062
613	0.1611609438
614	0.1609814704
615	0.1608899167
616	0.1607858815
617	0.1605829856
618	0.1604428138
619	0.1603073857
620	0.1601434093
621	0.1600289466
622	0.1598913796
623	0.1597062614
624	0.1595267331
625	0.1593385176
626	0.1592160379
627	0.1590100124
628	0.1588598915
629	0.1586710239
630	0.158420809
631	0.158267486
632	0.1580811595
633	0.1579530739
634	0.1577855241
635	0.1576156541
636	0.1574642818
637	0.1573286249
638	0.1571668304
639	0.1570461821
640	0.1569305819
641	0.1567755542
642	0.1566258933
643	0.1565310982
644	0.1563911079
645	0.1563341041
646	0.1562133067
647	0.1561279256
648	0.1559411258
649	0.1558252641
650	0.1556932006
651	0.1555550287
652	0.1553614412
653	0.1551758781
654	0.1549961586
655	0.154838945
656	0.1547093543
657	0.1545764965
658	0.1543710054
659	0.1542221549
660	0.154088817
661	0.1539620545
662	0.1538097831
663	0.1537071081
664	0.1535659561
665	0.1533727243
666	0.1532185062
667	0.1531451783
668	0.1529646189
669	0.1528540749
670	0.1526962332
671	0.1525817205
672	0.1524239206
673	0.152221041
674	0.1520966776
675	0.1519490391
676	0.1518291741
677	0.1517491422
678	0.1516300684
679	0.151566973
680	0.1514298453
681	0.1513495182
682	0.1511989006
683	0.1510255854
684	0.1509195296
685	0.1507649352
686	0.1506398892
687	0.1505304314
688	0.150412681
689	0.1502758899
690	0.1501824639
691	0.1501132449
692	0.1499440095
693	0.149811686
694	0.1496809987
695	0.149586099
696	0.1495004022
697	0.1493016245
698	0.1492116028
699	0.1490694087
700	0.1489397564
701	0.1487833942
702	0.1486621692
703	0.1485205619
704	0.1483688938
705	0.1481492071
706	0.1480388659
707	0.147925773
708	0.1478407277
709	0.1477572953
710	0.1475700608
711	0.1474747967
712	0.1473927886
713	0.1472705345
714	0.147138425
715	0.1469628718
716	0.1468821185
717	0.146765748
718	0.1466309608
719	0.1465190802
720	0.1463628552
721	0.1462825321
722	0.1461615764
723	0.146047174
724	0.1458919197
725	0.145765044
726	0.1456668303
727	0.1455073064
728	0.1453740566
729	0.1452614376
730	0.1450548385
731	0.1449572785
732	0.1448694957
733	0.1447534519
734	0.1446478006
735	0.1445543319
736	0.1444501005
737	0.1442903686
738	0.1442091798
739	0.1440887279
740	0.1439477888
741	0.1438242856
742	0.143699667
743	0.1436130363
744	0.1434830813
745	0.143352324
746	0.1432159309
747	0.1430435025
748	0.1429083369
749	0.1428154805
750	0.1426983732
751	0.1425943698
752	0.1424886831
753	0.142347939
754	0.1422355394
755	0.1421250092
756	0.1420007743
757	0.141897172
758	0.1417539616
759	0.1416368135
760	0.1415558066
761	0.1414537247
762	0.1413362758
763	0.1412429993
764	0.1410793556
765	0.1409682192
766	0.140824435
767	0.1406896192
768	0.140592427
769	0.1404523233
770	0.1403442645
771	0.1402691903
772	0.1401266932
773	0.1400246963
774	0.1398608565
775	0.1397257113
776	0.1396316923
777	0.1395363844
778	0.1394563766
779	0.13935214
780	0.1392360985
781	0.1391027829
782	0.138981443
783	0.1388788024
784	0.138753467
785	0.1386322532
786	0.1385140391
787	0.1383746437
788	0.1382315903
789	0.1381158211
790	0.1380384215
791	0.1379041134
792	0.1377954334
793	0.1376851629
794	0.1375668128
795	0.1374631783
796	0.1373423838
797	0.1372385804
798	0.1371253715
799	0.1370323931
800	0.136961449
801	0.136885111
802	0.1367752874
803	0.1366212391
804	0.1365189209
805	0.1363835014
806	0.1362697878
807	0.1361094523
808	0.1359938801
809	0.1358919643
810	0.1357827858
811	0.135698077
812	0.1355938171
813	0.1355345967
814	0.1354238714
815	0.1353076869
816	0.1351762408
817	0.1350064342
818	0.1349151149
819	0.1348333967
820	0.1347287493
821	0.1346340624
822	0.1345479635
823	0.1344189345
824	0.1343737143
825	0.1342441427
826	0.1340931626
827	0.1339515752
828	0.1338601671
829	0.1337969764
830	0.1336866161
831	0.1335779361
832	0.1334584009
833	0.1333701707
834	0.1332723204
835	0.1331960617
836	0.1331260948
837	0.1330345596
838	0.132950808
839	0.1328757251
840	0.1327604415
841	0.1326381382
842	0.1325132025
843	0.1324103359
844	0.1323147127
845	0.1321835819
846	0.1320635135
847	0.1319143085
848	0.1318499558
849	0.1317503435
850	0.131666793
851	0.1315533531
852	0.1314621454
853	0.1313356644
854	0.13127566
855	0.1311786644
856	0.1311094751
857	0.1309534496
858	0.1308462677
859	0.1307623381
860	0.1306688044
861	0.1306309055
862	0.130476272
863	0.1303585396
864	0.1302667212
865	0.1301376094
866	0.1299764578
867	0.1298743624
868	0.1297488503
869	0.1296682969
870	0.1295850081
871	0.1295047009
872	0.1293879968
873	0.1292930326
874	0.129236908
875	0.1290895213
876	0.1290217573
877	0.1289348994
878	0.128812493
879	0.1286789392
880	0.1285952658
881	0.1285071239
882	0.1284372152
883	0.1283699628
884	0.1282982535
885	0.128215839
886	0.1280935367
887	0.1280107837
888	0.1279524377
889	0.1278849883
890	0.1277929864
891	0.1277010377
892	0.1276377321
893	0.1275748022
894	0.1274811381
895	0.127408419
896	0.1272887235
897	0.1272128459
898	0.1271627921
899	0.1270479127
900	0.1269598746
901	0.1268854674
902	0.1267800387
903	0.1266851558
904	0.1265535736
905	0.1264708598
906	0.1263922663
907	0.1262990944
908	0.1261857114
909	0.1261065904
910	0.1259896518
911	0.1258710908
912	0.1257924341
913	0.1257525724
914	0.1256293344
915	0.1254890562
916	0.12541916	0.1227779144
917	0.918	0.12524918	0.1226291931
919	0.1225410212
920	0.1224601308
921	0.1224154439
922	0.1223263
923	0.1222108889
924	0.1220765312
925	0.1219487983
926	0.1218795833
927	0.1217820233
928	0.1216919127
929	0.1215785254
930	0.1214800435
931	0.1214123131
932	0.1213182888
933	0.1212615261
934	0.1211429713
935	0.1210770864
9936	0.12080094469937	0.12070556139938	0.1206537849
939	0.1205648719
940	0.1204572349
941	0.1203835852
942	0.120278818
943	0.1201990822
944	0.120129706
945	0.1200231117
946	0.1199232344
947	0.1198614237
948	0.1197723037
949	0.1196950879
950	0.1195643182
951	0.1194628646
952	0.11937682953953	0.1193085954	954	0.1192118955	955	0.1191021956	956	0.1190320957	0.1191437241
958	0.1190565948
959	959	0.1187899960	960	0.1187174961	961	0.1186018962	962	0.1185126963	963	0.1184134964	964	0.1183225965	965	0.1182640951
966	0.1182038568
967	0.118089392
968	0.1180134358
969	0.1179407631
970	0.1178921379
971	0.1178276344
972	0.117716173
973	0.1176651208
974	0.1176181965
975	0.1174986427
976	0.117415285
977	0.1173325617
978	0.1172548456
979	0.1171531583
980	0.1170985347
981	0.1170071799
982	0.1169110116
983	0.1168599295
984	0.1167801045
985	0.116689694
986	0.1166097881
987	0.1165025839
988	0.1164353771
989	0.1163750078
990	0.1162953589
991	0.1162119036
992	0.1161561991
993	0.1160905777
994	0.1159764738
995	0.1158719236
996	0.1158159834
997	0.1157379448
998	0.1156849827
999	0.1156192366

999	0.1161207244
.1174111268
